path,title,date,units,cjk_chars,en_words,raw_body_len,images,is_translation,categories,tags,action,reason
content/post/如何将网络流转化为内存流 C#.md,如何将网络流转化为内存流 C#,2015-04-28,0,0,0,950,0,False,winform开发,后端,delete,极薄正文（或图多文少），建议下线/draft
content/post/mihoyo.md,米哈游内推,2021-08-07,12,12,0,198,2,False,内推,生活,delete,极薄正文（或图多文少），建议下线/draft
content/CVE-2023-32991.md,2019 年针对 API 安全的 4 点建议,2019-02-02,20,4,16,555,0,True,"安全,翻译","安全, 漏洞分析",delete,极薄正文（或图多文少），建议下线/draft
content/checklist.md,学术篇,,23,23,0,1694,0,False,,,delete,极薄正文（或图多文少），建议下线/draft
content/post/latex如何给表格添加注释.md,latex如何给表格添加注释,2015-12-10,23,21,2,1759,0,False,论文写作,LaTeX,delete,极薄正文（或图多文少），建议下线/draft
content/post/datagridview里面的checkbox全选和取消全选.md,datagridview里面的checkbox全选和取消全选,2015-04-22,32,28,4,974,0,False,winform开发,学习笔记,delete,极薄正文（或图多文少），建议下线/draft
content/post/differential evolution代码实例（DE算法）.md,differential evolution代码实例（DE算法）,2015-10-26,42,41,1,1469,0,False,机器学习,算法,delete,极薄正文（或图多文少），建议下线/draft
content/post/latex算法步骤如何去掉序号.md,latex算法步骤如何去掉序号,2015-11-06,62,58,4,1221,1,False,论文写作,"算法, LaTeX",delete,极薄正文（或图多文少），建议下线/draft
content/post/数据结构线性表相关操作.md,数据结构线性表相关操作,2015-12-28,63,63,0,1302,0,False,算法OJ,算法,delete,极薄正文（或图多文少），建议下线/draft
content/post/柯西分布.md,柯西分布,2015-10-12,63,59,4,273,3,False,机器学习,计算机视觉,delete,极薄正文（或图多文少），建议下线/draft
content/post/如何查找django安装路径.md,如何查找django安装路径,2015-10-10,70,65,5,103,0,False,web前端,后端,delete,极薄正文（或图多文少），建议下线/draft
content/post/使用js实现图片轮滑效果.md,使用js实现图片轮滑效果,2015-10-21,82,75,7,3511,0,False,web前端,前端,delete,极薄正文（或图多文少），建议下线/draft
content/post/http响应代码解释.md,http响应代码解释,2015-10-10,84,83,1,119,0,False,web前端,工具,delete,极薄正文（或图多文少），建议下线/draft
content/samesite.md,SameSite 的七八事,2021-02-17,104,95,9,179,0,False,安全,"安全, Web安全, 漏洞分析, 前端",delete,极薄正文（或图多文少），建议下线/draft
content/burp-mcp.md,burp-mcp,,105,0,105,1790,0,False,,,delete,极薄正文（或图多文少），建议下线/draft
content/post/winform中进行post上传文件.md,winform中进行post上传文件,2015-04-17,110,104,6,1840,0,False,winform开发,学习笔记,delete,极薄正文（或图多文少），建议下线/draft
content/post/如何用latex画一个简单的表格.md,如何用latex画一个简单的表格,2015-09-26,113,80,33,492,2,False,论文写作,LaTeX,delete,极薄正文（或图多文少），建议下线/draft
content/post/歌德巴赫猜想.md,歌德巴赫猜想,2015-04-11,121,114,7,740,0,False,算法OJ,算法,delete,短且非主赛道，建议下线
content/post/matlab批量修改变量的名称.md,matlab批量修改变量的名称,2015-09-08,131,124,7,461,0,False,matlab,计算机视觉,delete,短且非主赛道，建议下线
content/post/每日一练--直接插入排序.md,每日一练--直接插入排序,2015-10-28,137,137,0,961,0,False,算法OJ,算法,delete,短且非主赛道，建议下线
